APRIL
SUN VX = -1.420511660519414E1;VY = -4.954714684919104E0;VZ = 3.99423759988592E-1
SUN VX = -1.242704698658654E1;VY = -9.038092429906106E0;VZ = 3.76312775327959E-1
MERCURY VX = -5.56094278702888E4;VY = 1.832403863827297E4;VZ = 6.598468970660206E3
VENUS VX = -2.559637489423834E4;VY = -2.424494045295074E4;VZ = 1.144134882603714E3
EARTH VX = -1.913151310683175E4;VY = 2.310482917874922E4;VZ = -1.501188455443268E0
MARS VX = -1.176232566166083E4;VY = 2.270833173124257E4;VZ = 7.646932889775561E2
JUPITER VX = 1.099702149204193E4;VY = 7.421216178429552E3;VZ = -2.767132700016354E2
SATURN VX = 7.699060340331199E3;VY = 5.020397551954768E3;VZ = -3.942923809814513E2
TITAN VX = 1.094541059626995E4;VY = 9.804624641248317E2;VZ = 1.364997342227135E3
URANUS VX = -4.282071065019601E3;VY = 5.017874382018049E3;VZ = 7.395131241600706E1
NEPTUNE VX = 9.480523757482576E2;VY = 5.377166139050563E3;VZ = -1.332711027982296E2
DEBEMBER
SUN VX = -1.214595271767E1;VY = -9.471463961585764E0;VZ = 3.771762705928304E-1
MERCURY VX = 1.722376494151604E4;VY = -3.824953525114513E4;VZ = -4.705520520542796E3
VENUS VX = 1.04982993507394E3;VY = -3.516311924517615E4;VZ = -5.433258094045791E2
EARTH VX = -2.828939471931197E4;VY = 1.056836638695997E4;VZ = -1.144884045984665E0
MARS VX = -1.731749581809872E4;VY = 1.801938516570958E4;VZ = 8.027179165797563E2
JUPITER VX = 1.067826349752793E4;VY = 7.916130199649129E3;VZ = -2.716841377292374E2
SATURN VX = 7.618182491486303E3;VY = 5.151714985438497E3;VZ = -3.935207871512854E2
TITAN VX = 7.134622151232904E3;VY = 3.758429010602201E2;VZ = 2.116646071164464E3
URANUS VX = -4.313138493978301E3;VY = 4.993454642595272E3;VZ = 7.453687069125591E1
NEPTUNE VX = 9.306349292993377E2;VY = 5.380093101242307E3;VZ = -1.326796028032517E2
JANUARY
SUN VX = -1.184293399029292E1;VY = -9.97731088509057E0;VZ = 3.738251241444194E-1
MERCURY VX = 3.088577648489711E4;VY = 2.926663523697633E4;VZ = -4.415269771206425E2
VENUS VX = 2.731259248847514E4;VY = -2.176970442161413E4;VZ = -1.875023151216018E3
EARTH VX = -2.977742283331162E4;VY = -5.541990307587029E3;VZ = -8.565662372797342E-2
MARS VX = -2.117842548473166E4;VY = 1.201705793741985E4;VZ = 7.716536605822538E2
JUPITER VX = 1.032239777035633E4;VY = 8.414060000342248E3;VZ = -2.659049498810407E2
SATURN VX = 7.53192837462825E3;VY = 5.285840102182892E3;VZ = -3.924010317694656E2
TITAN VX = 5.276734506912847E3;VY = 1.002838592324196E3;VZ = 2.040175149692074E3
URANUS VX = -4.344308632565905E3;VY = 4.967784605174064E3;VZ = 7.467911211120295E1
NEPTUNE VX = 9.128318192021874E2;VY = 5.384082350004652E3;VZ = -1.312924974447983E2
FEBRUARY
SUN VX = -1.14781617744384E1;VY = -1.049324869507665E1;VZ = 3.664131981457053E-1
MERCURY VX = -5.826171079672845E4;VY = -3.026946271260725E3;VZ = 5.097215999166134E3
VENUS VX = 3.411320441314694E4;VY = 6.638833378760102E3;VZ = -1.877574182825884E3
EARTH VX = -2.261440209901374E4;VY = -2.006315411667334E4;VZ = 1.490573438128783E0
MARS VX = -2.307405724541172E4;VY = 5.519532535047068E3;VZ = 6.820000818015108E2
JUPITER VX = 9.948428752069323E3;VY = 8.896575781691843E3;VZ = -2.594371398588361E2
SATURN VX = 7.443274626182463E3;VY = 5.418497473298292E3;VZ = -3.910756158899267E2
TITAN VX = 3.662150348980641E3;VY = 2.113949663583736E3;VZ = 1.689117618892659E3
URANUS VX = -4.376285124562395E3;VY = 4.942145656936742E3;VZ = 7.499218863637832E1
NEPTUNE VX = 8.965264624216345E2;VY = 5.387750882697491E3;VZ = -1.313639969831539E2
MARCH
SUN VX = -1.112225834191366E1;VY = -1.095148217278213E1;VZ = 3.588980984374216E-1
MERCURY VX = 2.151732459285781E4;VY = -3.500210180747393E4;VZ = -4.833815740047214E3
VENUS VX = 1.964471231870103E4;VY = 2.86855790759218E4;VZ = -7.400763943544121E2
EARTH VX = -1.052328487099795E4;VY = -2.816083953723704E4;VZ = 2.067878535617287E0
MARS VX = -2.320936918375327E4;VY = -3.108233859807996E2;VZ = 5.631443577470689E2
JUPITER VX = 9.587351873472193E3;VY = 9.31766422611872E3;VZ = -2.531438067621218E2
SATURN VX = 7.361068985498798E3;VY = 5.535743269739224E3;VZ = -3.890427129362633E2
TITAN VX = 3.147376335913246E3;VY = 9.029927282211467E3;VZ = -1.770660475284462E3
URANUS VX = -4.404387154248288E3;VY = 4.918683586722835E3;VZ = 7.535315588115112E1
NEPTUNE VX = 8.796519973142989E2;VY = 5.390054676495071E3;VZ = -1.305843188293128E2
APRIL
SUN VX = -1.066974920570726E1;VY = -1.143612094871687E1;VZ = 3.462182465714914E-1
MERCURY VX = 2.750473859676026E4;VY = 3.377701482877781E4;VZ = 2.374215090686744E2
VENUS VX = -9.000039108470859E3;VY = 3.371052682772098E4;VZ = 9.818723077257856E2
EARTH VX = 5.278155148555776E3;VY = -2.933726215297374E4;VZ = 2.829525234577021E0
MARS VX = -2.182576615132614E4;VY = -6.342607890357186E3;VZ = 4.028075255640958E2
JUPITER VX = 9.164631884640317E3;VY = 9.769805758074366E3;VZ = -2.455256034591824E2
SATURN VX = 7.267453890729731E3;VY = 5.665808292387659E3;VZ = -3.874413416515307E2
TITAN VX = 4.600295653620177E3;VY = 1.023830871250706E4;VZ = -2.47903091014941E3
URANUS VX = -4.435842400987516E3;VY = 4.892621195432943E3;VZ = 7.57300155492344E1
NEPTUNE VX = 8.633264841416169E2;VY = 5.393369596614721E3;VZ = -1.308834197045568E2
